service,category
dxmessagebase2,other
dxspider,other
dyn-site,other
dyna-access,other
dyna-lm,licensing
dynamic3d,other
dynamid,identity
dyniplookup,other
dzdaemon,other
dzoglserver,other
e-builder,other
e-design-net,other
e-design-web,other
e-dpnet,other
e-mdu,other
e-net,other
e-woa,other
e1-interface,network
e3consultants,other
ea,other
ea1,other
eapol-relay,network
eapsp,printing
easl,other
easy-soft-mux,other
easyengine,management
eba,other
ebinsite,other
echo,management
echonet,industrial
ecmp,management
ecmport,other
ecnp,other
ecolor-imager,other
ecomm,other
ecovisiong6-1,other
ecp,other
ecsqdmn,security
ecwcfg,management
edb-server1,other
edb-server2,other
edbsrvr,database
editbench,other
edix,other
edm-adm-notify,management
edm-manager,management
edm-mgr-cntrl,management
edm-mgr-sync,management
edm-stager,other
edm-std-notify,other
edonkey,files
edtools,discovery
eenet,other
efb-aci,other
efcp,industrial
efi-lm,licensing
efi-mg,gaming
efidiningport,other
eforward,other
efr,other
efs,discovery
eftp,files
egptlm,licensing
egs,gaming
ehome-ms,other
ehp-backup,storage
ehs,middleware
ehs-ssl,middleware
ehtp,other
eicon-server,security
eicon-slp,discovery
eicon-x25,network
eims-admin,management
eis,other
eisp,other
eisport,other
eklogin,remote
ekshell,remote
elad,other
elan,licensing
elanlm,other
elatelink,other
elcn,industrial
elcsd,management
elektron-admin,management
elfiq-repl,other
eli,management
elipse-rec,middleware
ellpack,other
elm-momentum,other
elpro_tunnel,vpn
els,other
elvin_client,other
elvin_server,other
elxmgmt,management
em7-secom,other
ema-sent-lm,licensing
emb-proj-cmd,media
embl-ndt,other
embrace-dp-c,other
embrace-dp-s,other
emc-gateway,other
emc-pp-mgmtsvc,management
emc-vcas-tcp,storage
emc-vcas-udp,discovery
emc-xsw-dcache,storage
emc-xsw-dconfig,other
emcads,other
emce,other
emcrmirccd,management
emcsymapiport,other
emfis-cntl,other
emfis-data,other
emgmsg,other
emp-server1,database
emp-server2,database
emperion,other
empire-empuma,other
empowerid,identity
emprise-lls,licensing
emprise-lsc,licensing
ems,middleware
emsd-port,other
emwavemsg,other
emwin,other
encore,other
encrypted-llrp,industrial
encrypted_admin,management
enfs,files
enguity-xccetp,network
enl,other
enl-name,other
enlabel-dpl,management
enpc,other
enpp,other
enrp,middleware
ent-engine,other
entexthigh,network
entextlow,network
entextmed,network
entextnetwk,network
entextxid,network
entomb,other
entp,other
entrust-aaas,other
entrust-aams,other
entrust-ash,management
entrust-sps,other
entrustmanager,identity
entrusttime,other
eor-game,gaming
eoss,other
ep-nsp,media
ep-pcp,media
epc,security
epicon,other
epl-slp,network
epmd,middleware
epncdp2,other
epnsdp,other
eportcomm,other
eportcommdata,other
epp,management
eppc,other
ept-machine,other
eq-office-4940,other
eq-office-4941,other
eq-office-4942,other
eq3-update,management
equationbuilder,other
ergolight,other
eristwoguns,other
erp-scale,other
erpc,middleware
erunbook_agent,other
erunbook_server,other
es-elmd,other
esbroker,other
escp-ip,other
escvpnet,other
eserver-pap,other
esimport,other
esinstall,other
esip,other
esl-lm,licensing
esmagent,security
esmmanager,security
esnm-zoning,other
esp,other
esp-encap,vpn
esp-lm,licensing
espeasy-p2p,industrial
espeech,media
espeech-rtp,media
esps-portal,other
esri_sde,other
esro-emsdp,other
esro-gen,middleware
essbase,database
essp,other
essweb-gw,other
estamp,identity
etb4j,other
etc-control,industrial
etcd-client,middleware
etcd-server,middleware
etebac5,other
etftp,files
ethercat,industrial
ethoscan,other
etlservicemgr,management
etp,middleware
ets,other
eudora-set,email
ev-services,other
evb-elm,licensing
event-port,web
event_listener,middleware
everydayrc,other
evm,management
evtp,other
evtp-data,other
ew-disc-cmd,discovery
ew-mgmt,management
ewall,other
ewcappsrv,other
ewctsp,other
ewdgs,management
ewinstaller,management
ewnn,other
exapt-lmgr,licensing
exasoftport1,other
exbit-escp,other
exce,other
excerpt,other
excerpts,other
excw,other
exec,remote
exlm-agent,other
exoconfig,other
exoline-tcp,industrial
exoline-udp,industrial
exonet,industrial
exp1,other
exp2,other
expresspay,other
extensis,other
extensisportfolio,other
eye2eye,other
eyelink,other
eyetv,media
ezmeeting,other
ezmeeting-2,other
ezmessagesrv,other
ezproxy,vpn
ezproxy-2,vpn
ezrelay,other
f1-control,network
f5-globalsite,other
f5-iquery,other
fac-restore,chat
facelink,other
facilityview,other
facsys-ntp,network
facsys-router,other
fagordnc,other
faircom-db,database
fairview,other
famdc,other
farenet,other
fast-rem-serv,other
fastlynx,other
fasttrack,files
fatpipe,other
fatserv,other
fax,printing
faxcomservice,printing
faximum,printing
faxportwinport,printing
faxstfx-port,printing
fazzt-admin,management
fazzt-ptp,other
fc-cli,management
fc-faultnotify,management
fc-ser,management
fcip-port,storage
fcis,other
fcis-disc,discovery
fcmsys,other
fcopy-server,files
fcopys-server,files
fcp,other
fcp-addr-srvr2,other
fcp-cics-gw1,other
fcp-srvr-inst1,other
fcp-srvr-inst2,other
fcp-udp,other
fdt-rcatp,other
fdtracks,other
febooti-aw,other
feitianrockey,other
femis,other
ferrari-foam,other
ff-annunc,industrial
ff-fms,industrial
ff-lr-port,industrial
ff-sm,management
ffserver,other
fg-fps,other
fg-gip,other
fg-sysupdate,other
fhc,other
fhsp,other
fibotrader-com,other
filecast,other
filemaker,database
filemq,files
filenet-powsrm,other
filenet-rpc,middleware
filenet-tms,other
filesphere,other
filex-lport,files
find,discovery
findviatv,other
finger,identity
finisar,other
finle-lm,licensing
fintrx,other
fiorano-msgsvc,other
fiorano-rtrsvc,other
firefox,other
firemonrcc,development
firepower,other
firewall1-rdp,security
first-defense,management
firstcall42,other
fis,other
fisa-svc,other
fiveacross,other
fj-hdnet,other
fjappmgrbulk,management
fjcp,other
fjdmimgr,management
fjdocdist,other
fjhpjp,other
fjicl-tep-a,remote
fjicl-tep-b,remote
fjicl-tep-c,remote
fjinvmgr,management
fjippol-cnsl,other
fjippol-polsvr,other
fjippol-port1,other
fjippol-port2,other
fjippol-swrly,other
fjitsuappmgr,management
fjmpcm,management
fjmpjps,other
fjmpss,other
fjsv-gssagt,other
fjsvmpor,other
fjswapsnp,other
fksp-audit,management
flamenco-proxy,vpn
flashfiler,other
flashmsg,chat
flcrs,other
flex-lm,licensing
flexlm,licensing
flexlm0,licensing
flexlm1,licensing
flexlm10,licensing
flexlm2,licensing
flexlm3,licensing
flexlm4,licensing
flexlm5,licensing
flexlm6,licensing
flexlm7,licensing
flexlm8,licensing
flexlm9,licensing
flirtmitmir,other
fln-spx,remote
florence,other
flr_agent,files
flukeserver,other
fly,middleware
fmp,other
fmpro-fdal,database
fmpro-v6,database
fmsas,management
fmsascon,management
fmtp,other
fmwp,other
fnet-remote-ui,management
fodms,other
foliocorp,other
font-service,remote
foresyte-clear,other
foresyte-sec,other
fortisphere-vm,other
fotogcad,other
found,middleware
fox-skytale,other
fpitp,other
fpo-fns,other
fprams,other
frc-hicp,other
frcs,other
freeciv,gaming
freezexservice,other
fronet,other
fryeserv,other
fs-agent,other
fs-mgmt,management
fs-qos,other
fs-rh-srv,other
fs-server,other
fsc-port,other
fse,storage
fsportmap,files
fsr,files
ft-role,other
ftnmtp,chat
ftp,files
ftp-agent,files
ftp-data,files
ftp-proxy,vpn
ftps,files
ftps-data,files
ftranhc,other
ftrapid-1,other
ftrapid-2,other
ftsrv,other
ftsync,security
fujitsu-dev,industrial
fujitsu-dtc,other
fujitsu-dtcns,other
fujitsu-mmpdc,other
fujitsu-neat,other
funk-dialout,other
funk-license,licensing
funk-logger,management
funkproxy,other
fuscript,other
futrix,other
fw1-mc-fwmodule,security
fw1-mc-gui,security
fw1-or-bgmp,other
fw1-secureremote,vpn
fxaengine-net,other
fxp,other
fxuptp,other
fyre-messanger,chat
g-talk,chat
g2tag,industrial
g5m,other
gacp,other
gadgetgate1way,other
gadgetgate2way,other
gadugadu,chat
gaia,other
galaxy-network,other
galaxy-server,other
galaxy4d,gaming
galaxy7-data,vpn
galileo,other
galileolog,management
gamegen1,gaming
gamelobby,gaming
gamesmith-port,gaming
gammafetchsvr,other
gandalf-lm,licensing
gap,other
garcon,other
garmin-marine,other
gat-lmd,other
gbjd816,other
gbmt-stars,other
gbs-smp,email
gbs-stp,chat
gc-config,other
gcm-app,other
gcmonitor,management
gcp-rphy,network
gcsp,other
gdbremote,development
gdoi,other
gdomap,discovery
gdp-port,discovery
gdrive-sync,files
gds-adppiw-db,database
gds_db,database
gearman,middleware
gemini-lm,other
geneous,other
generalsync,other
geneve,network
genie,other
genie-lm,licensing
genisar-port,other
geniuslm,licensing
genrad-mux,other
genstat,discovery
geognosis,other
geognosisman,management
geolocate,other
gerhcs,other
getty-focus,other
gf,other
ggf-ncp,other
ggz,gaming
ghvpn,vpn
giga-pocket,other
gilatskysurfer,other
ginad,other
giop,middleware
giop-ssl,middleware
gist,network
git,development
gkrellm,management
glbp,network
gld,other
glishd,other
global-cd-port,other
global-dtserv,other
global-wlink,other
globalcatLDAP,identity
globalcatLDAPssl,identity
globe,other
globecast-id,other
globmsgsvc,other
glogger,other
glrpc,other
gmmp,middleware
gmrupdateserv,management
gnmi-gnoi,management
gntp,middleware
gnunet,other
gnutella,files
gnutella2,files
go-login,other
goahead-fldup,other
gog-multiplayer,gaming
goldleaf-licman,licensing
golem,middleware
gopher,web
gotodevice,management
gpfs,files
gppitnp,other
gprs-cube,network
gprs-data,network
gprs-sig,network
gpsd,other
gradecam,other
graphics,other
grasp,network
grcmp,chat
grcp,chat
gre-in-udp,vpn
gre-udp-dtls,vpn
grf-port,other
gribi,network
grid,identity
grid-alt,identity
gridgen-elmd,other
griffin,other
gris,other
groove,other
groove-dpp,other
groupwise,email
grubd,other
gruber-cashreg,other
gs-realtime,other
gsakmp,other
gsi,other
gsidcap,storage
gsiftp,files
gsigatekeeper,other
gsmp,network
gsms,other
gsmtap,network
gss-http,identity
gss-xlicen,licensing
gt-proxy,vpn
gtaua,management
gte-samp,other
gtegsc-lm,licensing
gtp-control,network
gtp-user,network
gtrack-ne,other
gtrack-server,other
gue,network
guibase,other
guttersnex,other
gv-pf,management
gv-us,remote
gvcp,industrial
gw,other
gw-asv,other
gw-call-port,media
gw-log,other
gwen-sonya,other
gwha,licensing
gxs-data-port,database
gxtelmd,licensing
h2250-annex-g,media
h225gatedisc,discovery
h248-binary,media
h263-video,media
h2gf-w-2m,network
h323callsigalt,media
h323gatedisc,discovery
h323gatestat,media
h323hostcall,media
h323hostcallsc,media
h323q931,media
ha-cluster,management
hacl-cfg,management
hacl-gs,management
hacl-hb,management
hacl-local,management
hacl-monitor,management
hacl-poll,management
hacl-probe,management
hacl-qs,management
hacl-test,management
hagel-dump,other
haipe-discover,discovery
haipe-otnk,other
halflife,gaming
hao,other
hap,other
harp,other
hart-ip,industrial
hassle,other
hawk,other
hb-engine,other
hbci,other
hcp-wismar,other
hctl,media
hdap,other
hddtemp,management
hde-lcesrvr-1,other
hde-lcesrvr-2,other
hdl-srv,other
health-polling,management
health-trap,management
healthd,management
heartbeat,other
heathview,other
hecmtl-db,other
heliosd,other
helix,other
hello,other
hello-port,other
hems,management
here-lm,licensing
heretic2,gaming
hermes,other
herodotus-net,other
hes-clip,other
hexarc,other
hexen2,gaming
heythings,other
hfcs,database
hfcs-manager,management
hhb-gateway,other
hhb-handheld,other
hicp,other
hid,other
high-criteria,other
hillrserv,management
hinp,other
hip-nat-t,network
hiperscan-id,other
hippad,other
hiq,licensing
hislip,other
hivep,other
hivestor,files
hkp,identity
hks-lm,licensing
hl7,other
hlibmgr,other
hlserver,other
hmip-routing,industrial
hmmp-ind,other
hmmp-op,other
hncp-dtls-port,network
hncp-udp-port,network
hnm,management
hnmp,other
homeportal-web,web
homesteadglory,other
honyaku,other
hostname,discovery
hosts2-ns,discovery
hotline,files
hotu-chat,chat
houdini-lm,other
houston,other
hp-3000-telnet,remote
hp-alarm-mgr,management
hp-clic,management
hp-collector,management
hp-dataprotect,storage
hp-device-disc,discovery
hp-hcip,other
hp-hcip-gwy,other
hp-managed-node,management
hp-nnm-data,database
hp-pdl-datastr,printing
hp-pxpib,other
hp-san-mgmt,management
hp-sca,other
hp-sci,other
hp-sco,other
hp-server,other
hp-sessmon,management
hp-status,management
hp-webadmin,management
hp-webqosdb,other
hpdevms,management
hpe-dp-bura,storage
hpidsadmin,other
hpidsagent,other
hpiod,other
hpnpd,printing
hpocbus,media
hpoms-ci-lstn,other
hpoms-dps-lstn,other
hpppssvr,other
hppronetman,management
hpss-ndapi,storage
hpssd,management
hpssmgmt,management
hpstgmgr,other
hpstgmgr2,other
hpvirtctrl,management
hpvirtgrp,management
hpvmmagent,management
hpvmmcontrol,management
hpvmmdata,management
hpvroom,media
hrd-ncs,management
hri-port,other
hrpd-ith-at-an,network
hs-port,other
hsl-storm,other
hsrp,network
hsrpv6,network
htcp,other
htrust,other
http,web
http-alt,web
http-mgmt,management
http-proxy,vpn
http-rpc-epmap,middleware
http-wmap,email
https,web
https-alt,web
https-wmap,email
httpx,web
htuilsrv,other
hub-open-net,other
hughes-ap,other
husky,other
hybrid,other
hybrid-pop,network
hydap,other
hydra,middleware
hylafax,printing
hyper-g,other
hypercube-lm,other
hyperip,other
hyperscsi-port,storage
hyperwave-isp,other
i-net-2000-npr,other
i-zipqd,other
i3-sessionmgr,management
iRAPP,remote
iad1,other
iad2,other
iad3,other
iadt,industrial
iadt-disc,discovery
iadt-tls,industrial
iafdbase,other
iafserver,identity
ianywhere-dbns,database
iapp,network
ias-admind,management
ias-auth,identity
ias-neighbor,other
ias-paging,other
ias-reg,other
ias-session,other
iascontrol,management
iascontrol-oms,management
iasd,other
iatp-highpri,other
iatp-normalpri,other
iax,media
iba-cfg,management
ibar,network
iberiagames,gaming
ibm-abtact,other
ibm-app,other
ibm-cics,middleware
ibm-db2,database
ibm-db2-admin,management
ibm-dial-out,other
ibm-diradm,identity
ibm-diradm-ssl,identity
ibm-dt-2,other
ibm-mgr,management
ibm-mqisdp,middleware
ibm-mqseries,middleware
ibm-mqseries2,middleware
ibm-pps,other
ibm-res,remote
ibm-rsyscon,remote
ibm-ssd,other
ibm3494,storage
ibm_wrless_lan,network
ibp,other
ibprotocol,storage
ibridge-data,media
ibridge-mgmt,management
ibus,middleware
icabrowser,discovery
icad-el,other
icap,other
icb,chat
iccrushmore,other
ice-location,discovery
ice-router,vpn
ice-slocation,discovery
ice-srouter,vpn
iceedcp_rx,management
iceedcp_tx,management
icg-bridge,other
icg-iprelay,vpn
icg-swp,other
ici,other
icl-twobase1,other
icl-twobase10,other
icl-twobase2,other
icl-twobase3,other
icl-twobase4,other
icl-twobase5,other
icl-twobase6,other
icl-twobase7,other
icl-twobase8,other
icl-twobase9,other
iclcnet-locate,discovery
iclcnet_svinfo,other
iclid,management
iclpv-dm,other
iclpv-nlc,management
iclpv-nls,management
iclpv-pm,management
iclpv-sas,storage
iclpv-sc,storage
iclpv-wsm,management
icmpd,other
icms,other
icon-discover,discovery
iconp,other
iconstructsrv,other
icp,other
icpp,identity
icpps,identity
icpv2,other
icq,chat
ics,security
icshostsvc,other
icslap,other
ida-agent,security
ida-discover1,discovery
ida-discover2,discovery
idac,industrial
idcp,other
ideafarm-door,remote
ideafarm-panic,remote
ideesrv,other
iden-ralp,other
ident,identity
identify,other
idfp,other
idig_mux,other
idmaps,network
idmgratm,management
idonix-metanet,other
idotdist,other
idp,other
idp-infotrieve,other
idps,other
idrs,other
idtp,other
idware-router,network
idxp,security
iec-104,industrial
iec-104-sec,industrial
iee-qfx,other
ieee-mih,network
ieee-mms,industrial
ieee-mms-ssl,industrial
ieee11073-20701,other
ies-lm,other
ifcp-port,storage
ife_icorp,other
ifor-protocol,other
ifsf-hb-port,industrial
ifsp,files
igcp,other
igi-lm,licensing
igo-incognito,other
igrid,other
igrs,other
ii-admin,management
iiimsf,other
iims,chat
iiop,middleware
iiw-port,management
ild,other
ill,other
ilss,licensing
imagepump,other
imagequery,other
imap,email
imap3,email
imap4-ssl,email
imaps,email
imdocsvc,other
imgames,gaming
imink,other
imip,other
imip-channels,other
immedianet-bcn,other
imoguia-port,other
impera,other
imprs,other
imqbrokerd,discovery
imqstomp,middleware
imqstomps,middleware
imqtunnel,middleware
imqtunnels,middleware
imsldoc,other
imsp,email
imtc-map,media
imtc-mcs,other
imyx,other
incognitorv,discovery
incp,other
index-net,other
index-pc-wb,other
indi,other
indigo-server,other
indigo-vbcp,other
indigo-vrmi,other
indura,other
indx-dds,other
indy,middleware
inedo,development
inetfs,files
infi-async,storage
infiniswitchcl,management
influence,other
infobright,database
infocrypt,other
infoexch,other
infolibria,other
infoman,other
infomover,other
informatik-lm,licensing
informer,other
infoseek,other
infotos,other
infowave,other
ingres-net,database
ingreslock,database
ininmessaging,middleware
iniserve-port,other
initlsmsad,other
innosys,other
innosys-acl,other
inova-ip-disco,other
inovaport1,other
inovaport2,other
inovaport3,other
inovaport4,other
inovaport5,other
inovaport6,other
insis,management
insitu-conf,other
inspect,other
inspider,other
inst-discovery,discovery
instantia,other
instl_bootc,network
instl_boots,network
int-rcv-cntrl,other
intecom-ps1,other
intecom-ps2,other
intecourier,other
integra-sme,management
integral,other
integrius-stp,vpn
intel-rci-mp,other
intel_rci,other
intelliadm-disc,discovery
intellistor-lm,licensing
intelsync,other
interact,media
interactionweb,other
interbase,database
interhdl_elmd,licensing
interintelli,other
intermapper,management
interpathpanel,other
intersan,other
interserver,other
intersys-cache,database
interwise,other
interworld,other
intraintra,other
intrastar,other
intrepid-ssl,other
intrinsa,other
intu-ec-client,other
intu-ec-svcdisc,discovery
intuitive-edge,other
intv,other
invision,other
invision-ag,other
invokator,other
io-dist-data,industrial
io-dist-group,industrial
ioc-sea-lm,other
iona-data,industrial
ionixnetmon,management
iop,other
ip-blf,media
ip-provision,management
ip-qsig,media
ipass,other
ipcd,other
ipcd3,other
ipcore,network
ipcs-command,other
ipcserver,middleware
ipdcesgbs,other
ipdd,other
ipdr-sp,management
ipdtp-port,vpn
ipether232port,other
ipfix,management
ipfixs,management
ipfltbcst,other
iph-policy-adm,other
iph-policy-cli,other
iphone-sync,other
ipluminary,industrial
iposplanet,other
ipp,printing
ipr-dglt,other
ipsdtls,other
ipsma,management
ipt-anri-anri,network
ipulse-ics,other
ipx,network
iqnet-port,media
iqobject,other
iqrm,management
iqserver,other
ique,other
iracinghelper,gaming
irc,chat
ircs,chat
ircs-u,chat
ircu,chat
irdg-post,other
irdmi,other
irdmi2,other
iris-beep,identity
iris-lwz,identity
iris-xpc,identity
iris-xpcs,identity
irisa,other
ironmail,other
ironstorm,gaming
irp,identity
irtrans,industrial
is99c,network
is99s,network
isa100-gci,industrial
isakmp,vpn
isbconference1,media
isbconference2,media
iscape,other
ischat,chat
iscsi,storage
isdc,other
isdd,files
isdninfo,other
isg-uda-server,other
isi-gl,other
isi-irp,other
isis,other
isis-am,other
isis-ambc,other
isis-bcast,other
islc,other
ismaeasdaqlive,other
ismaeasdaqtest,other
ismc,management
ismserver,other
isnetserv,other
isns,storage
iso-ill,other
iso-ip,network
iso-tp0,network
iso-tp0s,network
iso-tsap,network
iso-tsap-c2,network
isode-dua,other
isoft-p2p,other
isoipsigport-1,other
isoipsigport-2,other
isomair,other
ispipes,other
ispmmgr,management
isqlplus,database
isrp-port,network
iss-console-mgr,security
iss-mgmt-ssl,security
iss-realsec,security
iss-realsecure,security
issa,security
issc,security
issd,other
isysg-lm,other
ita-agent,other
ita-manager,management
itach,other
itactionserver1,other
itactionserver2,other
italk,chat
itap-ddtp,other
itelserverport,other
item,management
itinternet,other
itm-lm,licensing
itm-mccs,other
itm-mcell-s,other
itm-mcell-u,other
ito-e-gui,other
itose,other
itscomm-ns,other
itv-control,media
itwo-server,other
iua,network
ivcollector,other
ivecon-port,other
ivmanager,other
ivocalize,media
ivs-database,database
ivs-insertion,management
ivs-video,media
ivsd,other
iw-mmogame,gaming
iwb-whiteboard,other
iwec,chat
iwg1,other
iwlistener,other
iwserver,other
izm,middleware
j-ac,other
j-lan-p,other
j-link,development
jacobus-lm,licensing
jaleosnd,other
jamlink,other
jamserverport,other
janus-disc,discovery
jaugsremotec-1,other
jaugsremotec-2,other
jaus,industrial
java-or-OTGfileshare,other
jaxer-manager,management
jaxer-web,other
jaxflow,management
jaxflow-data,other
jboss-iiop,middleware
jboss-iiop-ssl,middleware
jbroker,middleware
jcp,other
jdatastore,database
jdl-dbkitchen,other
jdmn-port,other
jdp-disc,discovery
jediserver,other
jeol-nsddp-1,discovery
jeol-nsddp-2,discovery
jeol-nsddp-3,discovery
jeol-nsddp-4,discovery
jeol-nsdtp-1,other
jeol-nsdtp-2,other
jeol-nsdtp-3,other
jeol-nsdtp-4,other
jerand-lm,licensing
jesmsjc,other
jetcmeserver,other
jetdirect,printing
jetform,other
jetformpreview,other
jetstream,middleware
jibe-eb,other
jini-discovery,discovery
jlicelmd,other
jmact3,other
jmact5,other
jmact6,other
jmb-cds1,other
jmb-cds2,other
jmevt2,other
jmq-daemon-1,middleware
jmq-daemon-2,middleware
jms,middleware
joaJewelSuite,other
jomamqmonitor,management
joost,media
journee,other
jpegmpeg,media
jprinter,printing
jps,other
jstel,other
jt400,other
jt400-ssl,other
jtag-server,development
jtnetd-server,other
jtnetd-status,management
juka,development
jute,development
juxml-port,other
jvclient,other
jvl-mactalk,management
jvserver,other
jwalkserver,other
jwclient,other
jwpc,other
jwpc-bin,other
jwserver,other
k-block,other
k-patentssensor,industrial
k3software-cli,other
k3software-svr,other
ka-sddp,other
ka0wuc,other
kademlia,other
kadmin,management
kali,gaming
kana,other
kaostransport,middleware
kar2ouche,discovery
kastenchasepad,other
kastenxpipe,other
kauth,identity
kca-service,identity
kdm,other
kdnet,development
kentrox-prot,other
kerberos,identity
kerberos-adm,management
kerberos-sec,identity
kermit,files
keyserver,identity
keyshadow,licensing
keysrvr,licensing
kfserver,database
kftp,files
kftp-data,files
kfxaclicensing,licensing
kingdomsonline,gaming
kingfisher,other
kink,identity
kiosk,other
kip,identity
kis,other
kitim,chat
kjtsiteserver,other
klio,other
klogin,remote
kme-trap-port,printing
kmip,identity
kmscontrol,other
knet-cmp,other
knetd,other
kofax-svr,other
konshus-lm,licensing
konspire2b,files
kopek-httphead,web
kpasswd,identity
kpasswd5,identity
kpdp,industrial
kpn-icw,media
kpop,email
krb524,identity
krb5gatekeeper,other
krb_prop,identity
krbupdate,identity
kryptolan,other
kshell,remote
ksysguard,management
ktelnet,remote
kti-icad-srvr,discovery
ktickets-rest,other
kuang2,other
kv-agent,other
kv-server,other
kvm-via-ip,management
kwdb-commn,other
kwtc,other
kx,remote
kyoceranetdev,other
kz-migr,other
l-acoustics,management
l2c-control,industrial
l2c-data,industrial
l2c-disc,discovery
l2f,network
l3-exprt,other
l3-hawk,other
l3-hbmon,other
l3-ranger,other
l3t-at-an,network
l5nas-parchan,storage
la-maint,network
labrat,other
laes-bf,other
lam,other
lan900_remote,other
landesk-cba,other
landesk-rc,remote
landmarks,other
lanmessenger,chat
lanner-lm,licensing
lanrevagent,management
lanrevserver,management
lanschool,other
lanserver,other
lansource,other
lansurveyor,management
lansurveyorxml,management
lanyon-lantern,other
laplink,other
launchbird-lm,licensing
lavenir-lm,licensing
lazy-ptop,other
lbc-control,other
lbc-measure,management
lbc-sync,other
lbc-watchdog,other
lbf,network
lbm,management
lcm-server,other
ldap,identity
ldap-admin,management
ldaps,identity
ldapssl,identity
ldgateway,other
ldoms-mgmt,management
ldoms-migr,other
ldp,network
lds-distrib,other
lds-dump,other
ldss,files
ldxp,other
lecroy-vicp,other
leecoposserver,other
legent-1,other
legent-2,other
leoip,other
lgtomapper,other
lhtp,management
libelle,middleware
liberty-lm,other
licensedaemon,licensing
light,other
limnerpressure,other
link,other
linkname,discovery
linktest,management
linktest-s,management
linogridengine,other
linuxconf,other
linx,other
lionhead,other
lipsinc,other
lipsinc1,other
lisp-cons,network
lisp-control,network
lisp-data,network
lispworks-orb,middleware
listcrt-port,other
listcrt-port-2,other
listen,middleware
listmgr-port,other
litecoin,other
livelan,other
livestats,management
ljk-login,remote
lkcmserver,other
llm-csv,other
llm-pass,other
llmnr,discovery
llrp,industrial
llsurfup-http,web
llsurfup-https,web
lm-dta,other
lm-instmgr,other
lm-mon,management
lm-perfworks,other
lm-sserver,other
lm-webwatcher,other
lm-x,licensing
lmcs,industrial
lmdp,other
lmp,network
lms,other
lmsocialserver,other
lnvalarm,other
lnvconsole,other
lnvmailmon,other
lnvmaps,other
lnvpoller,other
lnvstatus,other
loadsrv,other
loaprobe,other
localinfosrvr,other
lockd,files
lockstep,other
locus-con,other
locus-disc,discovery
locus-map,other
lofr-lm,licensing
logcabin,middleware
login,remote
lonewolf-lm,licensing
lontalk-norm,industrial
lontalk-urgnt,industrial
lonworks,industrial
lonworks2,industrial
loreji-panel,management
lorica-in,middleware
lorica-in-sec,middleware
lorica-out,middleware
lorica-out-sec,middleware
lot105-ds-upd,other
lotusmtap,other
lotusnotes,other
lpar2rrd,management
lpcp,other
lpdg,other
lpsrecommender,other
lrp,management
lrs-paging,other
ls3,other
ls3bcast,other
lsdp,discovery
lsi-bobcat,storage
lsi-raid-mgmt,management
lsnr,database
lsp-ping,network
lsp-self-ping,network
lstp,other
ltctcp,other
ltcudp,other
ltp,other
ltp-deepspace,network
lumimgrd,management
lupa,other
lutap,media
lutcp,other
lv-auth,identity
lv-ffx,storage
lv-frontpanel,other
lv-jc,storage
lv-not,management
lv-pici,management
lvision-lm,licensing
lxi-evntsvc,other
lyskom,chat
m-bus-oms,industrial
m-oap,middleware
m-wnn,other
m2ap,network
m2mservices,middleware
m2pa,network
m2ua,network
m3ap,network
m3da,industrial
m3ua,network
m4-network-as,other
mac-srvr-admin,management
macbak,storage
macon,other
macromedia-fcs,media
madcap,network
madge-ltd,other
magaya-network,other
magbind,other
magenta-logic,other
magiccontrol,other
magicnotes,other
magicom,other
magpie,other
mailbox,other
mailbox-lm,files
mailprox,email
mailq,email
maincontrol,other
mainsoft-lm,other
maitrd,other
man,remote
manage-exec,management
manet,network
manyone-http,web
manyone-xml,other
mao,other
mapper-mapethd,other
mapper-nodemgr,management
mapper-ws_ethd,other
mapx,other
marathontp,other
marcam-lm,licensing
markem-dcp,other
martalk,other
masc,network
masqdialer,management
matahari,other
matip-type-a,other
matip-type-b,other
matrix-fed,chat
matrix_vnet,other
max,other
maxim-asics,other
maybe-fw1,other
maybe-veritas,other
maytagshuffle,other
mbap,industrial
mbap-s,industrial
mbg-ctrl,management
mbl-battd,management
mbus,middleware
mc-appserver,other
mc-brk-srv,other
mc-client,other
mc-comm,other
mc-gt-srv,other
mc2studios,other
mc3ss,other
mcagent,other
mccwebsvr-port,web
mcer-port,other
mcftp,files
mciautoreg,other
mcidas,other
mck-ivpip,other
mcns-sec,other
mcns-tel-ret,other
mcntp,network
mcp,management
mcp-port,other
mcreport,management
mcs-calypsoicf,other
mcs-fastmail,email
mcs-mailsvr,email
mcs-messaging,middleware
mctet-gateway,other
mctet-jserv,other
mctet-master,other
mctfeed,other
mctp,management
md-cg-http,web
mdap-port,other
mdbs_daemon,database
mdc-portmapper,discovery
mdcs-scheduler,management
mdm,management
mdns,discovery
mdnsresponder,discovery
mdtp,other
mecomm,other
med-ci,other
med-fsp-rx,other
med-fsp-tx,other
med-ltp,other
med-net-svc,other
med-ovw,other
med-supp,other
medevolve,other
media-agent,other
mediabox,media
mediacntrlnfsd,files
mediaspace,other
mediat,middleware
mediavault-gui,other
medimageportal,other
meetingmaker,other
megaco-h248,media
megardsvr-port,storage
megaregsvrport,other
memcache,database
memcachedb,database
menandmice-dns,discovery
menandmice-lpm,other
menandmice-mon,management
menandmice-upg,management
menandmice_noh,remote
mentaclient,other
mentaserver,other
mercantile,other
mercury-disc,discovery
meregister,other
mesavistaco,other
